RefDes,X_mm,Y_mm,Channel,Package
D1,20.0,20.0,Main White,LED3535_MCPCB
D2,50.0,20.0,Deep Red 660nm,LED3535_MCPCB
D3,80.0,20.0,Blue 450nm,LED3535_MCPCB
D4,110.0,20.0,Warm White,LED3535_MCPCB
D5,140.0,20.0,Main White,LED3535_MCPCB
D6,170.0,20.0,Main White,LED3535_MCPCB
D7,200.0,20.0,Main White,LED3535_MCPCB
D8,230.0,20.0,Main White,LED3535_MCPCB
D9,260.0,20.0,Main White,LED3535_MCPCB
D10,290.0,20.0,Main White,LED3535_MCPCB
D11,320.0,20.0,Deep Red 660nm,LED3535_MCPCB
D12,350.0,20.0,Blue 450nm,LED3535_MCPCB
D13,380.0,20.0,Warm White,LED3535_MCPCB
D14,410.0,20.0,Main White,LED3535_MCPCB
D15,440.0,20.0,Main White,LED3535_MCPCB
D16,470.0,20.0,Main White,LED3535_MCPCB
D17,500.0,20.0,Main White,LED3535_MCPCB
D18,530.0,20.0,Main White,LED3535_MCPCB
D19,20.0,47.059,Main White,LED3535_MCPCB
D20,50.0,47.059,Deep Red 660nm,LED3535_MCPCB
D21,80.0,47.059,Blue 450nm,LED3535_MCPCB
D22,110.0,47.059,Warm White,LED3535_MCPCB
D23,140.0,47.059,Main White,LED3535_MCPCB
D24,170.0,47.059,Main White,LED3535_MCPCB
D25,200.0,47.059,Main White,LED3535_MCPCB
D26,230.0,47.059,Main White,LED3535_MCPCB
D27,260.0,47.059,Main White,LED3535_MCPCB
D28,290.0,47.059,Main White,LED3535_MCPCB
D29,320.0,47.059,Far Red 730nm,LED3535_MCPCB
D30,350.0,47.059,Deep Red 660nm,LED3535_MCPCB
D31,380.0,47.059,Warm White,LED3535_MCPCB
D32,410.0,47.059,Warm White,LED3535_MCPCB
D33,440.0,47.059,Main White,LED3535_MCPCB
D34,470.0,47.059,Main White,LED3535_MCPCB
D35,500.0,47.059,Main White,LED3535_MCPCB
D36,530.0,47.059,Main White,LED3535_MCPCB
D37,20.0,74.118,Main White,LED3535_MCPCB
D38,50.0,74.118,Main White,LED3535_MCPCB
D39,80.0,74.118,Deep Red 660nm,LED3535_MCPCB
D40,110.0,74.118,Blue 450nm,LED3535_MCPCB
D41,140.0,74.118,Warm White,LED3535_MCPCB
D42,170.0,74.118,Main White,LED3535_MCPCB
D43,200.0,74.118,Main White,LED3535_MCPCB
D44,230.0,74.118,Main White,LED3535_MCPCB
D45,260.0,74.118,Main White,LED3535_MCPCB
D46,290.0,74.118,Main White,LED3535_MCPCB
D47,320.0,74.118,Main White,LED3535_MCPCB
D48,350.0,74.118,Deep Red 660nm,LED3535_MCPCB
D49,380.0,74.118,Blue 450nm,LED3535_MCPCB
D50,410.0,74.118,Warm White,LED3535_MCPCB
D51,440.0,74.118,Main White,LED3535_MCPCB
D52,470.0,74.118,Main White,LED3535_MCPCB
D53,500.0,74.118,Main White,LED3535_MCPCB
D54,530.0,74.118,Main White,LED3535_MCPCB
D55,20.0,101.176,Main White,LED3535_MCPCB
D56,50.0,101.176,Main White,LED3535_MCPCB
D57,80.0,101.176,Deep Red 660nm,LED3535_MCPCB
D58,110.0,101.176,Blue 450nm,LED3535_MCPCB
D59,140.0,101.176,Warm White,LED3535_MCPCB
D60,170.0,101.176,Main White,LED3535_MCPCB
D61,200.0,101.176,Main White,LED3535_MCPCB
D62,230.0,101.176,Main White,LED3535_MCPCB
D63,260.0,101.176,Main White,LED3535_MCPCB
