Designator,Comment,Mid X(mm),Mid Y(mm),Rotation,Layer
D001,GE-3030WXXX-Q1B2D0-4,20.0,20.0,0,Top
D002,GE-3030WXXX-Q1B2D0-4,20.0,71.11,0,Top
D003,GE-3030WXXX-Q1B2D0-4,20.0,122.22,0,Top
D004,GE-3030WXXX-Q1B2D0-4,20.0,173.33,0,Top
D005,GE-3030WXXX-Q1B2D0-4,20.0,224.44,0,Top
D006,GE-3030WXXX-Q1B2D0-4,20.0,275.56,0,Top
D007,GE-3030WXXX-Q1B2D0-4,20.0,326.67,0,Top
D008,GE-3030WXXX-Q1B2D0-4,20.0,377.78,0,Top
D009,GE-3030WXXX-Q1B2D0-4,20.0,428.89,0,Top
D010,GE-3030WXXX-Q1B2D0-4,20.0,480.0,0,Top
D011,GE-3030WXXX-Q1B2D0-4,45.5,20.0,0,Top
D012,GE-3030WXXX-Q1B2D0-4,45.5,71.11,0,Top
D013,GE-3030WXXX-Q1B2D0-4,45.5,122.22,0,Top
D014,GE-3030WXXX-Q1B2D0-4,45.5,173.33,0,Top
D015,GE-3030WXXX-Q1B2D0-4,45.5,224.44,0,Top
D016,GE-3030WXXX-Q1B2D0-4,45.5,275.56,0,Top
D017,GE-3030WXXX-Q1B2D0-4,45.5,326.67,0,Top
D018,GE-3030WXXX-Q1B2D0-4,45.5,377.78,0,Top
D019,GE-3030WXXX-Q1B2D0-4,45.5,428.89,0,Top
D020,GE-3030WXXX-Q1B2D0-4,45.5,480.0,0,Top
D021,GE-3030WXXX-Q1B2D0-4,71.0,20.0,0,Top
D022,GE-3030WXXX-Q1B2D0-4,71.0,71.11,0,Top
D023,GE-3030WXXX-Q1B2D0-4,71.0,122.22,0,Top
D024,GE-3030WXXX-Q1B2D0-4,71.0,173.33,0,Top
D025,GE-3030WXXX-Q1B2D0-4,71.0,224.44,0,Top
D026,GE-3030WXXX-Q1B2D0-4,71.0,275.56,0,Top
D027,GE-3030WXXX-Q1B2D0-4,71.0,326.67,0,Top
D028,GE-3030WXXX-Q1B2D0-4,71.0,377.78,0,Top
D029,GE-3030WXXX-Q1B2D0-4,71.0,428.89,0,Top
D030,GE-3030WXXX-Q1B2D0-4,71.0,480.0,0,Top
D031,GE-3030WXXX-Q1B2D0-4,96.5,20.0,0,Top
D032,GE-3030WXXX-Q1B2D0-4,96.5,71.11,0,Top
D033,GE-3030WXXX-Q1B2D0-4,96.5,122.22,0,Top
D034,GE-3030WXXX-Q1B2D0-4,96.5,173.33,0,Top
D035,GE-3030WXXX-Q1B2D0-4,96.5,224.44,0,Top
D036,GE-3030WXXX-Q1B2D0-4,96.5,275.56,0,Top
D037,GE-3030WXXX-Q1B2D0-4,96.5,326.67,0,Top
D038,GE-3030WXXX-Q1B2D0-4,96.5,377.78,0,Top
D039,GE-3030WXXX-Q1B2D0-4,96.5,428.89,0,Top
D040,GE-3030WXXX-Q1B2D0-4,96.5,480.0,0,Top
D041,GE-3030WXXX-Q1B2D0-4,122.0,20.0,0,Top
D042,GE-3030WXXX-Q1B2D0-4,122.0,71.11,0,Top
D043,GE-3030WXXX-Q1B2D0-4,122.0,122.22,0,Top
D044,GE-3030WXXX-Q1B2D0-4,122.0,173.33,0,Top
D045,GE-3030WXXX-Q1B2D0-4,122.0,224.44,0,Top
D046,GE-3030WXXX-Q1B2D0-4,122.0,275.56,0,Top
D047,GE-3030WXXX-Q1B2D0-4,122.0,326.67,0,Top
D048,GE-3030WXXX-Q1B2D0-4,122.0,377.78,0,Top
D049,GE-3030WXXX-Q1B2D0-4,122.0,428.89,0,Top
D050,GE-3030WXXX-Q1B2D0-4,122.0,480.0,0,Top
D051,GE-3030WXXX-Q1B2D0-4,147.5,20.0,0,Top
D052,GE-3030WXXX-Q1B2D0-4,147.5,71.11,0,Top
D053,GE-3030WXXX-Q1B2D0-4,147.5,122.22,0,Top
D054,GE-3030WXXX-Q1B2D0-4,147.5,173.33,0,Top
D055,GE-3030WXXX-Q1B2D0-4,147.5,224.44,0,Top
D056,GE-3030WXXX-Q1B2D0-4,147.5,275.56,0,Top
D057,GE-3030WXXX-Q1B2D0-4,147.5,326.67,0,Top
D058,GE-3030WXXX-Q1B2D0-4,147.5,377.78,0,Top
D059,GE-3030WXXX-Q1B2D0-4,147.5,428.89,0,Top
D060,GE-3030WXXX-Q1B2D0-4,147.5,480.0,0,Top
D061,GE-3030WXXX-Q1B2D0-4,173.0,20.0,0,Top
D062,GE-3030WXXX-Q1B2D0-4,173.0,71.11,0,Top
D063,GE-3030WXXX-Q1B2D0-4,173.0,122.22,0,Top
D064,GE-3030WXXX-Q1B2D0-4,173.0,173.33,0,Top
D065,GE-3030WXXX-Q1B2D0-4,173.0,224.44,0,Top
D066,GE-3030WXXX-Q1B2D0-4,173.0,275.56,0,Top
D067,GE-3030WXXX-Q1B2D0-4,173.0,326.67,0,Top
