ref,x_mm,y_mm,rotation_deg,package,logical_channel,physical_output,channel_short,part_number
D001,20.0,20.0,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D002,20.0,71.11,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D003,20.0,122.22,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D004,20.0,173.33,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D005,20.0,224.44,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D006,20.0,275.56,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D007,20.0,326.67,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D008,20.0,377.78,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D009,20.0,428.89,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D010,20.0,480.0,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D011,45.5,20.0,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D012,45.5,71.11,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D013,45.5,122.22,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D014,45.5,173.33,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D015,45.5,224.44,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D016,45.5,275.56,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D017,45.5,326.67,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D018,45.5,377.78,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D019,45.5,428.89,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D020,45.5,480.0,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D021,71.0,20.0,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D022,71.0,71.11,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D023,71.0,122.22,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D024,71.0,173.33,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D025,71.0,224.44,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D026,71.0,275.56,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
