string_id,physical_output,leds_in_series,estimated_vf_v,target_current_a
S_MWA_01,CH1A,15,43.5,0.7
S_MWA_02,CH1A,15,43.5,0.7
S_MWA_03,CH1A,15,43.5,0.7
S_MWA_04,CH1A,15,43.5,0.7
S_MWA_05,CH1A,15,43.5,0.7
S_MWA_06,CH1A,15,43.5,0.7
S_MWA_07,CH1A,15,43.5,0.7
S_MWB_01,CH1B,15,43.5,0.7
S_MWB_02,CH1B,15,43.5,0.7
S_MWB_03,CH1B,15,43.5,0.7
S_MWB_04,CH1B,15,43.5,0.7
S_MWB_05,CH1B,15,43.5,0.7
S_MWB_06,CH1B,15,43.5,0.7
S_MWB_07,CH1B,15,43.5,0.7
S_WW_01,CH2,14,40.6,0.5
S_WW_02,CH2,14,40.6,0.5
S_WW_03,CH2,14,40.6,0.5
S_B_01,CH3,8,25.6,0.35
S_B_02,CH3,8,25.6,0.35
S_B_03,CH3,8,25.6,0.35
S_R_01,CH4,12,26.4,0.5
S_R_02,CH4,12,26.4,0.5
S_R_03,CH4,12,26.4,0.5
S_FR_01,CH5,6,13.2,0.35
S_FR_02,CH5,6,13.2,0.35
