Harness_ID,Control_Pin,LED_Board_Pin,Signal,Wire_Color,Gauge
H1,J1.1,J1.1,48V,Red,AWG18
H1,J1.2,J1.2,PGND,Black,AWG18
H2,J2.1,J1.CH1A+,CH1A+,White,AWG20
H2,J2.2,J1.CH1A-,CH1A-,Gray,AWG20
H2,J2.3,J1.CH1B+,CH1B+,Yellow,AWG20
H2,J2.4,J1.CH1B-,CH1B-,Brown,AWG20
H3,J3.1,J2.CH2+,CH2+,Orange,AWG20
H3,J3.2,J2.CH2-,CH2-,Blue,AWG20
H3,J3.3,J2.CH3+,CH3+,Violet,AWG20
H3,J3.4,J2.CH3-,CH3-,Pink,AWG20
H4,J4.1,J2.CH4+,CH4+,Green,AWG20
H4,J4.2,J2.CH4-,CH4-,Green/Black,AWG20
H4,J4.3,J2.CH5+,CH5+,Cyan,AWG20
H4,J4.4,J2.CH5-,CH5-,Cyan/Black,AWG20
